"","age","educ","black","hisp","married","nodegr","re74","re75","re78","u74","u75","treat","pscores"
"34",20,12,1,0,0,0,0,0,0,1,1,1,0.517854287875227
"35",25,12,1,0,0,0,0,0,3191.75,1,1,1,0.519029828356822
"36",42,14,1,0,0,0,0,0,20505.9,1,1,1,0.720094086555397
"37",25,5,1,0,0,1,0,0,6181.88,1,1,1,0.63003034540219
"38",23,12,1,0,1,0,0,0,5911.55,1,1,1,0.518559636715055
"39",46,8,1,0,1,1,0,0,3094.16,1,1,1,0.469348931470752
"40",24,10,1,0,0,1,0,0,0,1,1,1,0.306039238305778
"41",21,12,1,0,0,0,0,0,1254.58,1,1,1,0.518089412200356
"42",19,9,0,0,0,1,0,0,13188.8,1,1,1,0.471518458932334
"43",17,8,1,0,0,1,0,0,8061.49,1,1,1,0.46255327317435
"44",18,8,0,1,1,1,0,0,2787.96,1,1,1,0.312605124249667
"45",20,11,1,0,0,1,0,0,3972.54,1,1,1,0.377917955915806
"46",25,11,1,0,1,1,0,0,0,1,1,1,0.379025556364916
"47",17,8,1,0,0,1,0,0,0,1,1,1,0.46255327317435
"48",17,9,1,0,0,1,0,0,0,1,1,1,0.416756669257767
"49",25,5,1,0,0,1,0,0,12187.4,1,1,1,0.63003034540219
"50",23,12,1,0,0,0,0,0,4843.18,1,1,1,0.518559636715055
"51",28,8,1,0,0,1,0,0,0,1,1,1,0.465129437070106
"52",31,11,1,0,1,1,0,0,8087.49,1,1,1,0.380356342553595
"53",18,11,1,0,0,1,0,0,0,1,1,1,0.377475271509715
"54",25,12,1,0,0,0,0,0,2348.97,1,1,1,0.519029828356822
"55",30,11,1,0,1,1,0,0,590.782,1,1,1,0.380134419346089
"56",17,10,1,0,0,1,0,0,0,1,1,1,0.3046410277449
"57",37,9,1,0,0,1,0,0,1067.51,1,1,1,0.421341780974085
"58",41,4,1,0,1,1,0,0,7284.99,1,1,1,0.823714070140024
"59",42,14,1,0,1,0,0,0,13167.5,1,1,1,0.720094086555397
"60",22,11,0,0,0,1,0,0,1048.43,1,1,1,0.431350678536394
"61",17,8,1,0,0,1,0,0,0,1,1,1,0.46255327317435
"62",29,8,1,0,0,1,0,0,1923.94,1,1,1,0.465363728154798
"63",35,10,1,0,0,1,0,0,4666.24,1,1,1,0.308243653009098
"64",27,11,1,0,0,1,0,0,549.298,1,1,1,0.37946895062097
"65",29,4,1,0,0,1,0,0,762.915,1,1,1,0.822067116472002
"66",28,9,1,0,0,1,0,0,10694.3,1,1,1,0.419276752027465
"67",27,11,1,0,0,1,0,0,0,1,1,1,0.37946895062097
"68",23,7,0,0,0,1,0,0,0,1,1,1,0.301726543236629
"69",45,5,1,0,1,1,0,0,8546.72,1,1,1,0.634409612888432
"70",29,13,1,0,0,0,0,0,7479.66,1,1,1,0.615789324683464
"71",27,9,1,0,0,1,0,0,0,1,1,1,0.419047477419035
"72",46,13,1,0,0,0,0,0,647.205,1,1,1,0.619569883127735
"73",18,6,1,0,0,1,0,0,0,1,1,1,0.216995373074908
"74",25,12,1,0,0,0,0,0,11965.8,1,1,1,0.519029828356822
"75",28,15,1,0,0,0,0,0,9598.54,1,1,1,0.999999527896808
"76",25,11,0,0,0,1,0,0,18783.4,1,1,1,0.43204378384366
"77",22,12,1,0,0,0,0,0,18678.1,1,1,1,0.518324528514912
"78",21,9,1,0,0,1,0,0,0,1,1,1,0.417672567086475
"79",40,11,1,0,0,1,0,0,23005.6,1,1,1,0.382355892241543
"80",22,11,1,0,0,1,0,0,6456.7,1,1,1,0.378360843943926
"81",25,12,1,0,0,0,0,0,0,1,1,1,0.519029828356822
"82",18,12,1,0,0,0,0,0,2321.11,1,1,1,0.517384015608677
"83",38,12,0,0,0,0,0,0,4941.85,1,1,1,0.576535511376613
"84",27,13,1,0,0,0,0,0,0,1,1,1,0.615343622067682
"85",27,8,1,0,0,1,0,0,0,1,1,1,0.464895161372255
"86",38,11,1,0,0,1,0,0,0,1,1,1,0.38191120082155
"87",23,8,0,1,0,1,0,0,3881.28,1,1,1,0.313617808297998
"88",26,11,1,0,0,1,0,0,17231,1,1,1,0.379247228282751
"89",21,12,0,0,0,0,0,0,8048.6,1,1,1,0.572622292338631
"90",25,8,1,0,0,1,0,0,0,1,1,1,0.464426656546463
"91",31,11,1,0,1,1,0,0,14509.9,1,1,1,0.380356342553595
"92",17,10,1,0,0,1,0,0,0,1,1,1,0.3046410277449
"93",25,11,1,0,0,1,0,0,0,1,1,1,0.379025556364916
"94",21,12,1,0,0,0,0,0,9983.78,1,1,1,0.518089412200356
"95",44,11,1,0,0,1,0,0,0,1,1,1,0.383245865746725
"96",25,12,0,0,0,0,0,0,5587.5,1,1,1,0.573543886716775
"97",18,9,1,0,0,1,0,0,4482.85,1,1,1,0.416985590115682
"98",42,12,1,0,0,0,0,0,2456.15,1,1,1,0.523025012783774
"99",25,10,1,0,0,1,0,0,0,1,1,1,0.30623927530895
"100",31,9,0,1,0,1,0,0,26817.6,1,1,1,0.276525979352445
"101",24,10,1,0,0,1,0,0,0,1,1,1,0.306039238305778
"102",26,10,1,0,0,1,0,0,9265.79,1,1,1,0.306439385325814
"103",25,11,1,0,0,1,0,0,485.23,1,1,1,0.379025556364916
"104",18,11,1,0,0,1,0,0,4814.63,1,1,1,0.377475271509715
"105",19,11,1,0,0,1,0,0,7458.11,1,1,1,0.377696588219712
"106",43,9,1,0,0,1,0,0,0,1,1,1,0.422720001834988
"107",27,13,1,0,0,0,0,0,34099.3,1,1,1,0.615343622067682
"108",17,9,1,0,0,1,0,0,1953.27,1,1,1,0.416756669257767
"109",30,11,1,0,0,1,0,0,0,1,1,1,0.380134419346089
"110",26,10,1,0,1,1,2028,0,0,0,1,1,0.292568272372348
"111",20,9,1,0,0,1,6083.99,0,8881.67,0,1,1,0.370132201173708
"112",17,9,0,1,0,1,445.17,74.3435,6210.67,0,0,1,0.272008170939342
"113",20,12,1,0,0,0,989.268,165.208,0,0,0,1,0.512573746131951
"114",18,11,1,0,0,1,858.254,214.564,929.884,0,0,1,0.374296547362745
"115",27,12,1,0,1,0,3670.87,334.049,0,0,0,1,0.49520521505581
"116",21,12,0,0,0,0,3670.87,334.049,12558,0,0,1,0.548680028206766
"117",27,12,1,0,0,0,2143.41,357.95,22163.3,0,0,1,0.508057322129705
"118",20,12,1,0,0,0,0,377.569,1652.64,1,0,1,0.524192924621804
"119",19,10,1,0,0,1,0,385.274,8124.72,1,0,1,0.310562144207007
"120",23,12,1,0,0,0,5506.31,501.074,671.332,0,0,1,0.482118544123174
"121",29,14,1,0,0,0,0,679.673,17815,1,0,1,0.726792411010812
"122",18,10,1,0,0,1,0,798.908,9737.15,1,0,1,0.316347534260582
"123",19,9,1,0,0,1,0,798.908,17685.2,1,0,1,0.430337464582247
"124",27,13,0,0,1,0,9381.57,853.723,0,0,0,1,0.608625453763156
"125",18,11,0,0,0,1,3678.23,919.558,4321.71,0,0,1,0.41625156988754
"126",27,9,1,0,1,1,0,934.445,1773.42,1,0,1,0.434424189782519
"127",22,12,1,0,0,0,5605.85,936.177,0,0,0,1,0.488383738296703
"128",23,10,1,0,1,1,0,936.439,11233.3,1,0,1,0.319374517906979
"129",23,12,0,1,0,0,9385.74,1117.44,559.443,0,0,1,0.311004846206671
"130",20,11,1,0,0,1,3637.5,1220.84,1085.44,0,0,1,0.369381773892429
"131",17,9,1,0,0,1,1716.51,1253.44,5445.2,0,0,1,0.423664356636736
"132",28,11,1,0,0,1,0,1284.08,60307.9,1,0,1,0.400236782644282
"133",26,11,1,0,1,1,0,1392.85,1460.36,1,0,1,0.401541841500903
"134",20,11,1,0,0,1,16318.6,1484.99,6943.34,0,0,1,0.28280777061752
"135",24,11,1,0,1,1,824.389,1666.11,4032.71,0,0,1,0.399049914204143
"136",31,9,1,0,0,1,0,1698.61,10363.3,1,0,1,0.448026122490897
"137",23,8,0,0,1,1,0,1713.15,4232.31,1,0,1,0.547604913257556
"138",18,10,1,0,0,1,2143.41,1784.27,11141.4,0,0,1,0.315569421050005
"139",29,12,1,0,0,0,10881.9,1817.28,0,0,0,1,0.461914578474323
"140",26,11,0,0,0,1,0,2226.27,13385.9,1,0,1,0.469335980310541
"141",24,9,1,0,0,1,9154.7,2288.68,4849.56,0,0,1,0.383660084515472
"142",25,12,1,0,0,0,14426.8,2409.27,0,0,0,1,0.442218322772328
"143",24,10,1,0,0,1,4250.4,2421.95,1660.51,0,0,1,0.311233214271112
"144",46,8,1,0,0,1,3165.66,2594.72,0,0,0,1,0.487146578568387
"145",31,12,0,0,0,0,0,2611.22,2484.55,1,0,1,0.617189753124181
"146",19,11,1,0,0,1,2305.03,2615.28,4146.6,0,0,1,0.401658649066232
"147",19,8,1,0,0,1,0,2657.06,9970.68,1,0,1,0.507639674766585
"148",27,11,1,0,0,1,2206.94,2666.27,0,0,0,1,0.40506692669169
"149",26,11,1,0,1,1,0,2754.65,26372.3,1,0,1,0.423741204399767
"150",20,10,1,0,0,1,5005.73,2777.36,5615.19,0,0,1,0.31027241703963
"151",28,10,1,0,0,1,0,2836.51,3196.57,1,0,1,0.348845516898592
"152",24,12,1,0,0,0,13765.8,2842.76,6167.68,0,0,1,0.454528102373197
"153",19,8,1,0,0,1,2636.35,2937.26,7535.94,0,0,1,0.490863659675403
"154",23,12,1,0,0,0,6269.34,3039.96,8484.24,0,0,1,0.518581507809956
"155",42,9,1,0,1,1,0,3058.53,1294.41,1,0,1,0.473323883069369
"156",25,13,1,0,0,0,12362.9,3090.73,0,0,0,1,0.567771599329395
"157",18,9,1,0,0,1,0,3287.38,5010.34,1,0,1,0.471527875493771
"158",21,12,1,0,0,0,6473.68,3332.41,9371.04,0,0,1,0.521358961423344
"159",27,10,1,0,0,1,1001.15,3550.08,0,0,0,1,0.352127762859871
"160",21,8,1,0,0,1,989.268,3695.9,4279.61,0,0,1,0.517511204646942
"161",22,9,1,0,0,1,2192.88,3836.99,3462.56,0,0,1,0.46387005736613
"162",31,4,1,0,0,1,8517.59,4023.21,7382.55,0,0,1,0.821306741136713
"163",24,10,1,0,1,1,11703.2,4078.15,0,0,0,1,0.283747421280174
"164",29,10,1,0,0,1,0,4398.95,0,1,0,1,0.373304188739455
"165",29,12,1,0,0,0,9748.39,4878.94,10976.5,0,0,1,0.522556017437795
"166",19,10,0,0,0,1,0,5324.11,13829.6,1,0,1,0.439035189202715
"167",19,11,0,1,1,1,5424.49,5463.8,6788.46,0,0,1,0.279390379317174
"168",31,9,1,0,0,1,10717,5517.84,9558.5,0,0,1,0.425274484486236
"169",22,10,1,0,1,1,1468.35,5588.66,13228.3,0,0,1,0.37930429269677
"170",21,9,1,0,0,1,6416.47,5749.33,743.667,0,0,1,0.461382011570529
"171",17,10,1,0,0,1,1291.47,5793.85,5522.79,0,0,1,0.382809575277917
"172",26,12,1,0,1,0,8408.76,5794.83,1424.94,0,0,1,0.548039729105782
"173",20,9,0,1,0,1,12260.8,5875.05,1358.64,0,0,1,0.273554015964201
"174",19,10,1,0,0,1,4121.95,6056.75,0,0,0,1,0.365780758968345
"175",26,10,1,0,0,1,25929.7,6788.96,672.877,0,0,1,0.230486025900656
"176",28,11,1,0,0,1,1929.03,6871.86,0,0,0,1,0.477147112603913
"177",22,12,0,1,1,0,492.231,7055.7,10092.8,0,0,1,0.473297944137844
"178",33,11,1,0,0,1,0,7867.92,6281.43,1,0,1,0.51078272472028
"179",22,12,0,0,0,0,6759.99,8455.5,12590.7,0,0,1,0.655183575590751
"180",29,10,0,1,0,1,0,8853.67,5112.01,1,0,1,0.297917993079458
"181",33,12,1,0,1,0,20280,10941.4,15952.6,0,0,1,0.539540965078373
"182",25,14,1,0,1,0,35040.1,11536.6,36647,0,0,1,0.637030962132864
"183",35,9,1,0,1,1,13602.4,13830.6,12804,0,0,1,0.541837932037811
"184",35,8,1,0,1,1,13732.1,17976.2,3786.63,0,0,1,0.652133737065068
"185",33,11,1,0,1,1,14660.7,25142.2,4181.94,0,0,1,0.674188116880924
"186",23,10,1,0,0,1,0,0,0,1,1,0,0.305839274364997
"187",26,12,0,0,0,0,0,0,12383.7,1,1,0,0.5737742057883
"188",22,9,1,0,0,1,0,0,0,1,1,0,0.417901630565054
"189",18,9,1,0,0,1,0,0,10740.1,1,1,0,0.416985590115682
"190",45,11,1,0,0,1,0,0,11796.5,1,1,0,0.383468481697749
"191",18,9,1,0,0,1,0,0,9227.05,1,1,0,0.416985590115682
"192",24,8,0,0,0,1,0,0,10569.3,1,1,0,0.519163854698619
"193",34,11,1,0,1,1,0,0,6040.34,1,1,0,0.381022411932947
"194",24,4,0,1,0,1,0,0,3880.83,1,1,0,0.708242825118151
"195",36,10,1,0,0,1,0,0,0,1,1,0,0.308444490462481
"196",21,14,1,0,0,0,0,0,5775.06,1,1,0,0.716090770898999
"197",28,9,1,0,0,1,0,0,0,1,1,0,0.419276752027465
"198",27,7,1,0,1,1,0,0,0,1,1,0,0.258171935517098
"199",19,11,0,0,0,1,0,0,0,1,1,0,0.430657842024153
"200",20,8,1,0,0,1,0,0,0,1,1,0,0.463255670913156
"201",34,12,1,0,0,0,0,0,2113.72,1,1,0,0.521145261682285
"202",24,10,1,0,0,1,0,0,7618.64,1,1,0,0.306039238305778
"203",22,8,0,1,0,1,0,0,9920.95,1,1,0,0.31341512895813
"204",25,11,1,0,0,1,0,0,4196.38,1,1,0,0.379025556364916
"205",39,9,1,0,0,1,0,0,0,1,1,0,0.421801052874583
"206",19,9,1,0,1,1,0,0,16658.3,1,1,0,0.417214546768548
"207",44,9,1,0,0,1,0,0,9722,1,1,0,0.422949822932245
"208",27,8,1,0,0,1,0,0,3783.66,1,1,0,0.464895161372255
"209",25,8,1,0,0,1,0,0,3515.93,1,1,0,0.464426656546463
"210",31,10,1,0,0,1,0,0,17014.6,1,1,0,0.307441028904111
"211",34,10,1,0,1,1,0,0,0,1,1,0,0.308042888076919
"212",21,7,0,1,0,1,0,0,0,1,1,0,0.15446736675792
"213",33,12,1,0,0,0,0,0,5970.26,1,1,0,0.520910249589796
"214",18,10,0,1,0,1,0,0,1859.17,1,1,0,0.187979253480143
"215",26,12,1,0,1,0,0,0,6191.94,1,1,0,0.519264911590841
"216",31,12,1,0,0,0,0,0,7284.39,1,1,0,0.520440197741537
"217",35,10,1,0,0,1,0,0,445.831,1,1,0,0.308243653009098
"218",20,12,1,0,0,0,0,0,0,1,1,0,0.517854287875227
"219",25,11,1,0,0,1,0,0,0,1,1,0,0.379025556364916
"220",25,10,1,0,0,1,0,0,7367.04,1,1,0,0.30623927530895
"221",35,11,1,0,0,1,0,0,0,1,1,0,0.38124453470624
"222",20,10,1,0,0,1,0,0,2015.5,1,1,0,0.30523982140246
"223",25,9,0,1,0,1,0,0,15791.1,1,1,0,0.275397015718377
"224",27,10,1,0,0,1,0,0,1135.47,1,1,0,0.306639568307575
"225",20,11,0,1,0,1,0,0,6378.72,1,1,0,0.242828054435548
"226",26,11,1,0,0,1,0,0,7176.19,1,1,0,0.379247228282751
"227",38,8,1,0,0,1,0,0,0,1,1,0,0.467473023423004
"228",34,10,1,0,0,1,0,0,7952.54,1,1,0,0.308042888076919
"229",19,12,1,0,0,0,0,0,0,1,1,0,0.517619155643379
"230",32,8,1,0,0,1,0,0,7152.13,1,1,0,0.466066692705959
"231",20,9,0,1,0,1,0,0,8329.82,1,1,0,0.274458398509536
"232",23,10,1,0,0,1,0,0,0,1,1,0,0.305839274364997
"233",38,10,1,0,0,1,0,0,12429.9,1,1,0,0.308846382733561
"234",24,11,1,0,0,1,0,0,0,1,1,0,0.378803934948527
"235",23,11,1,0,0,1,0,0,5088.76,1,1,0,0.378582364114564
"236",20,7,0,1,0,1,0,0,4374.04,1,1,0,0.154344412152003
"237",21,11,1,0,0,1,0,0,1553.29,1,1,0,0.378139374517428
"238",25,10,1,0,0,1,0,0,0,1,1,0,0.30623927530895
"239",22,11,1,0,1,1,0,0,1698.3,1,1,0,0.378360843943926
"240",23,11,1,0,0,1,0,0,0,1,1,0,0.378582364114564
"241",24,12,0,0,0,0,0,0,11294.6,1,1,0,0.573313535740486
"242",29,11,1,0,0,1,0,0,0,1,1,0,0.379912546233904
"243",24,11,1,0,0,1,0,0,14626.4,1,1,0,0.378803934948527
"244",22,9,1,0,0,1,0,0,12898.4,1,1,0,0.417901630565054
"245",28,11,1,0,0,1,0,0,5767.13,1,1,0,0.379690723298429
"246",18,10,0,1,0,1,0,0,6527.92,1,1,0,0.187979253480143
"247",26,10,1,0,0,1,0,0,3931.24,1,1,0,0.306439385325814
"248",25,10,1,0,0,1,0,0,20942.2,1,1,0,0.30623927530895
"249",24,10,1,0,0,1,0,0,0,1,1,0,0.306039238305778
"250",26,5,1,0,0,1,0,0,0,1,1,0,0.630249824604851
"251",36,10,1,0,0,1,0,0,14690.4,1,1,0,0.308444490462481
"252",22,11,1,0,0,1,0,0,0,1,1,0,0.378360843943926
"253",25,12,1,0,0,0,0,0,3418.1,1,1,0,0.519029828356822
"254",27,11,1,0,0,1,0,0,11197.3,1,1,0,0.37946895062097
"255",29,8,1,0,0,1,0,0,0,1,1,0,0.465363728154798
"256",24,12,1,0,0,0,0,0,0,1,1,0,0.518794736696961
"257",22,10,1,0,0,1,0,0,0,1,1,0,0.305639383535203
"258",24,7,1,0,0,1,0,0,1455.69,1,1,0,0.257631236402117
"259",29,12,1,0,0,0,0,0,1890.94,1,1,0,0.519970109700122
"260",25,11,0,1,1,1,0,0,4485.62,1,1,0,0.243694832270962
"261",30,12,1,0,0,0,0,0,13613.4,1,1,0,0.520205158193125
"262",22,8,1,0,0,1,0,0,1390.51,1,1,0,0.463724017267055
"263",55,3,1,0,0,1,0,0,5843.8,1,1,0,4.72103191871033e-07
"264",20,10,1,0,0,1,0,0,8598.52,1,1,0,0.30523982140246
"265",34,11,1,0,0,1,0,0,2920.2,1,1,0,0.381022411932947
"266",22,12,1,0,0,0,0,0,0,1,1,0,0.518324528514912
"267",32,12,0,1,1,0,0,0,6735.32,1,1,0,0.364451757581766
"268",31,10,1,0,0,1,0,0,0,1,1,0,0.307441028904111
"269",18,9,1,0,0,1,0,0,0,1,1,0,0.416985590115682
"270",50,10,0,1,0,1,0,0,0,1,1,0,0.192622435597049
"271",25,11,1,0,1,1,0,0,44.7555,1,1,0,0.379025556364916
"272",23,10,1,0,1,1,0,0,0,1,1,0,0.305839274364997
"273",38,10,1,0,0,1,0,0,0,1,1,0,0.308846382733561
"274",25,10,1,0,1,1,0,0,3701.81,1,1,0,0.30623927530895
"275",42,10,1,0,0,1,0,0,6930.34,1,1,0,0.309651035332248
"276",39,12,1,0,1,0,0,0,3795.8,1,1,0,0.522320179682652
"277",34,13,1,0,1,0,0,0,5193.25,1,1,0,0.616902729466571
"278",24,7,1,0,0,1,0,0,2193.53,1,1,0,0.257631236402117
"279",32,11,1,0,0,1,0,0,11120.5,1,1,0,0.380578315774953
"280",27,13,1,0,0,0,0,0,7609.52,1,1,0,0.615343622067682
"281",26,10,1,0,0,1,0,0,2169.03,1,1,0,0.306439385325814
"282",44,11,1,0,0,1,0,0,0,1,1,0,0.383245865746725
"283",25,11,1,0,0,1,0,0,1264.23,1,1,0,0.379025556364916
"284",25,12,1,0,0,0,0,0,0,1,1,0,0.519029828356822
"285",28,12,1,0,1,0,0,0,0,1,1,0,0.519735052366249
"286",32,10,1,0,0,1,0,0,0,1,1,0,0.307641575974876
"287",22,10,1,0,0,1,0,0,0,1,1,0,0.305639383535203
"288",19,9,1,0,0,1,0,0,5712.64,1,1,0,0.417214546768548
"289",31,10,1,0,1,1,0,0,0,1,1,0,0.307441028904111
"290",23,11,1,0,0,1,0,0,0,1,1,0,0.378582364114564
"291",33,11,1,0,0,1,0,0,0,1,1,0,0.380800338928614
"292",27,10,1,0,0,1,0,0,1184.88,1,1,0,0.306639568307575
"293",29,11,1,0,1,1,0,0,10225.9,1,1,0,0.379912546233904
"294",23,10,1,0,0,1,0,0,0,1,1,0,0.305839274364997
"295",25,9,1,0,1,1,0,0,4715.37,1,1,0,0.418589033159092
"296",25,10,1,0,0,1,0,0,289.79,1,1,0,0.30623927530895
"297",24,10,1,0,0,1,0,0,0,1,1,0,0.306039238305778
"298",28,8,0,0,0,1,0,0,8190.42,1,1,0,0.520104116286278
"299",26,6,1,0,0,1,0,0,4813.05,1,1,0,0.218278142731419
"300",30,14,1,0,1,0,0,0,7344.68,1,1,0,0.717810705153784
"301",25,10,1,0,1,1,0,0,0,1,1,0,0.30623927530895
"302",29,11,1,0,1,1,0,0,0,1,1,0,0.379912546233904
"303",25,12,1,0,1,0,0,0,0,1,1,0,0.519029828356822
"304",28,13,1,0,0,0,0,0,0,1,1,0,0.615566497628609
"305",23,11,1,0,0,1,0,0,4350.91,1,1,0,0.378582364114564
"306",54,11,1,0,0,1,0,0,7812.52,1,1,0,0.385474214236386
"307",33,5,0,1,0,1,0,0,0,1,1,0,0.47527987170231
"308",20,8,1,0,0,1,0,0,3644.66,1,1,0,0.463255670913156
"309",45,9,1,0,0,1,0,0,4844.8,1,1,0,0.423179677383203
"310",39,6,1,0,0,1,0,0,0,1,1,0,0.220374280679067
"311",26,12,1,0,0,0,0,0,0,1,1,0,0.519264911590841
"312",23,10,1,0,0,1,0,0,0,1,1,0,0.305839274364997
"313",27,12,0,0,0,0,0,0,14792.9,1,1,0,0.574004492859584
"314",33,9,0,1,1,1,0,0,0,1,1,0,0.276902935290911
"315",25,10,1,0,1,1,0,0,0,1,1,0,0.30623927530895
"316",23,8,1,0,0,1,0,0,3746.7,1,1,0,0.463958214495933
"317",18,8,1,0,0,1,0,0,1568.15,1,1,0,0.462787389378847
"318",17,8,1,0,0,1,0,0,7010.44,1,1,0,0.46255327317435
"319",19,9,0,1,0,1,0,0,3811.68,1,1,0,0.274270913913948
"320",18,8,0,1,0,1,0,0,10798.6,1,1,0,0.312605124249667
"321",18,11,1,0,0,1,0,0,4657.27,1,1,0,0.377475271509715
"322",17,11,1,0,0,1,0,0,8551.53,1,1,0,0.377254005866305
"323",19,10,1,0,0,1,0,0,4309.88,1,1,0,0.305040150196204
"324",19,10,1,0,0,1,0,0,5286.4,1,1,0,0.305040150196204
"325",18,9,1,0,0,1,0,0,12486.2,1,1,0,0.416985590115682
"326",18,9,1,0,0,1,0,0,10877.4,1,1,0,0.416985590115682
"327",18,10,1,0,0,1,0,0,202.285,1,1,0,0.304840552294319
"328",17,10,1,0,0,1,0,0,2657.71,1,1,0,0.3046410277449
"329",18,7,1,0,0,1,0,0,4132.58,1,1,0,0.256552058668092
"330",18,11,1,0,0,1,0,0,11303.1,1,1,0,0.377475271509715
"331",19,10,0,1,0,1,0,0,0,1,1,0,0.188123041814816
"332",18,9,1,0,0,1,0,0,0,1,1,0,0.416985590115682
"333",17,10,1,0,0,1,0,0,0,1,1,0,0.3046410277449
"334",17,10,1,0,0,1,0,0,2189.43,1,1,0,0.3046410277449
"335",19,11,1,0,0,1,0,0,0,1,1,0,0.377696588219712
"336",17,8,0,0,0,1,0,0,10211,1,1,0,0.51751807424453
"337",18,10,1,0,0,1,0,0,11048.1,1,1,0,0.304840552294319
"338",18,9,1,0,0,1,0,0,0,1,1,0,0.416985590115682
"339",17,8,1,0,0,1,0,0,8993.87,1,1,0,0.46255327317435
"340",19,6,0,1,0,1,0,0,5071.8,1,1,0,0.127731958782425
"341",19,10,0,0,0,1,0,0,3194.01,1,1,0,0.353602378768023
"342",17,11,0,0,0,1,0,0,0,1,1,0,0.430196101634122
"343",20,9,1,0,0,1,0,0,5193.09,1,1,0,0.417443539123216
"344",17,9,1,0,0,1,0,0,0,1,1,0,0.416756669257767
"345",17,10,1,0,0,1,0,0,275.566,1,1,0,0.3046410277449
"346",17,9,1,0,0,1,0,0,3590.7,1,1,0,0.416756669257767
"347",19,11,1,0,0,1,0,0,0,1,1,0,0.377696588219712
"348",19,10,1,0,1,1,0,0,12797.7,1,1,0,0.305040150196204
"349",20,9,1,0,0,1,0,0,2035.91,1,1,0,0.417443539123216
"350",18,9,1,0,0,1,0,0,2389.68,1,1,0,0.416985590115682
"351",18,11,1,0,0,1,0,0,0,1,1,0,0.377475271509715
"352",17,10,0,1,0,1,0,0,8469.28,1,1,0,0.18783554962053
"353",19,11,1,0,0,1,0,0,0,1,1,0,0.377696588219712
"354",17,10,1,0,0,1,0,0,1143.39,1,1,0,0.3046410277449
"355",17,9,0,1,0,1,0,0,5114.81,1,1,0,0.273896183828295
"356",18,10,1,0,0,1,0,0,781.224,1,1,0,0.304840552294319
"357",21,9,1,0,0,1,591.499,0,3343.22,0,1,0,0.412989303400255
"358",18,10,1,0,0,1,1563.25,0,9602.44,0,1,0,0.294147846974602
"359",19,11,1,0,0,1,1626.62,0,0,0,1,0,0.365313867730992
"360",24,9,1,0,0,1,2788.5,0,16461.6,0,1,0,0.396413616190259
"361",28,11,0,1,1,1,3472.95,0,6771.62,0,1,0,0.223924457935802
"362",25,11,1,0,0,1,5281.25,0,0,0,1,0,0.339418807609341
"363",21,7,1,0,0,1,33800,0,11011.6,0,1,0,0.103102727037326
"364",39,11,1,0,0,1,0,83.6896,0,1,0,0,0.383463676980215
"365",36,12,1,0,0,0,0,142.397,0,1,0,0,0.524005099205918
